wcat,wdog
-1.174840610474348068e-02,-1.015950832515954971e-02
1.077246572822332382e-02,-1.350509468466043472e-02
-8.877584710717201233e-03,-4.579676780849695206e-03
-4.745784215629100800e-03,1.984392991289496422e-03
6.518702488392591476e-03,-3.623098880052566528e-02
-5.104724317789077759e-02,3.607759624719619751e-02
-2.334382571280002594e-02,-2.482510171830654144e-02
3.774866461753845215e-02,-5.073026567697525024e-02
3.535621566697955132e-03,1.095923129469156265e-02
-6.218141410499811172e-03,4.095270857214927673e-02
4.067210014909505844e-03,7.073346525430679321e-03
2.535391040146350861e-02,1.171185635030269623e-02
1.926615647971630096e-02,1.528777740895748138e-02
-1.218268088996410370e-02,-2.191831357777118683e-02
-2.391709014773368835e-02,-1.601207442581653595e-02
5.901244655251502991e-02,-4.710334539413452148e-02
7.487146183848381042e-03,-1.252656523138284683e-02
-1.923558674752712250e-02,-8.368551731109619141e-03
7.309476495720446110e-04,-7.252762559801340103e-03
1.341191586107015610e-03,4.244799260050058365e-03
-2.549974014982581139e-03,-3.644275944679975510e-03
1.890796795487403870e-02,2.057749219238758087e-02
-3.135548904538154602e-02,2.282709628343582153e-02
-6.138245953479781747e-05,-8.671096526086330414e-03
-1.727493479847908020e-03,-5.798051133751869202e-03
2.000764012336730957e-02,-1.313595380634069443e-02
-1.300534605979919434e-02,2.847843617200851440e-02
8.888185024261474609e-03,4.794961772859096527e-03
-1.731065474450588226e-02,6.633948069065809250e-03
1.966710574924945831e-02,-3.925385698676109314e-02
9.827312082052230835e-02,-5.928004905581474304e-02
1.745231635868549347e-02,-3.529256582260131836e-02
8.265668898820877075e-02,-6.895028799772262573e-02
-3.520298749208450317e-03,4.828688688576221466e-03
2.270520292222499847e-02,2.610294148325920105e-02
5.702054128050804138e-03,3.226103261113166809e-02
2.667699195444583893e-02,2.768071182072162628e-02
1.166621502488851547e-02,1.138940732926130295e-02
2.814449742436408997e-02,2.053328044712543488e-02
9.171039611101150513e-02,-7.816551625728607178e-02
-1.697265543043613434e-02,-1.286036428064107895e-02
-2.123515307903289795e-02,-9.448837488889694214e-03
4.858500324189662933e-03,8.273126557469367981e-03
1.192029844969511032e-02,-2.543433196842670441e-02
-1.231566350907087326e-02,-2.008158899843692780e-02
-3.327484801411628723e-02,3.717320784926414490e-02
-1.549901161342859268e-02,-8.177777752280235291e-03
4.432969726622104645e-04,-1.026575569994747639e-03
-3.095658263191580772e-03,-3.220835328102111816e-02
2.341722324490547180e-02,2.197058312594890594e-02
2.423099987208843231e-02,-1.656278222799301147e-02
8.789986371994018555e-03,-7.661155890673398972e-03
1.226488780230283737e-02,-1.905046083265915513e-04
2.120549231767654419e-02,2.734067291021347046e-02
8.767241612076759338e-03,-2.447756193578243256e-02
-1.874318905174732208e-02,2.194410189986228943e-02
-8.231299929320812225e-03,-6.779314950108528137e-03
-3.731502918526530266e-03,3.015866270288825035e-03
-1.340488903224468231e-02,-1.244137808680534363e-02
7.042124401777982712e-03,-6.967704277485609055e-03
-6.648425012826919556e-03,1.220621197717264295e-04
1.038591098040342331e-02,8.831635117530822754e-03
7.434916496276855469e-02,-1.050285473465919495e-01
-1.587471365928649902e-02,-2.082088217139244080e-02
-1.496312022209167480e-02,-1.258778851479291916e-02
-3.895655274391174316e-03,-8.571873418986797333e-03
2.568291034549474716e-03,6.378826219588518143e-03
-1.001405529677867889e-02,-1.027234271168708801e-02
-5.012901034206151962e-03,-8.460701443254947662e-03
2.014940371736884117e-03,3.130229655653238297e-03
3.162762895226478577e-02,2.629307284951210022e-02
4.454713687300682068e-02,-4.009939730167388916e-02
7.324554957449436188e-03,4.541648924350738525e-02
-1.697204820811748505e-02,-2.019433118402957916e-02
-2.923306822776794434e-02,-6.295341532677412033e-03
-1.114483736455440521e-02,-1.018665265291929245e-02
-8.173277601599693298e-03,1.194500015117228031e-03
2.718403236940503120e-03,-2.228501997888088226e-02
-5.530565977096557617e-03,-3.128066193312406540e-03
4.380095750093460083e-03,1.866775006055831909e-02
1.037779147736728191e-03,-1.089239143766462803e-03
1.661371998488903046e-02,2.845293469727039337e-02
9.330413304269313812e-03,1.176332030445337296e-02
-3.082857280969619751e-02,1.881204731762409210e-02
-1.634261198341846466e-02,-1.059345342218875885e-02
-4.421760677359998226e-04,1.667533814907073975e-02
-5.803403444588184357e-03,-4.983691498637199402e-03
6.451953202486038208e-03,6.510656327009201050e-03
2.664446085691452026e-02,-1.732085458934307098e-02
5.912337452173233032e-03,5.385357886552810669e-03
8.628544397652149200e-03,9.304563514888286591e-03
1.384870614856481552e-02,9.755570441484451294e-03
-1.441894751042127609e-02,-1.111040730029344559e-02
-1.450803875923156738e-02,1.725475303828716278e-02
-5.741805303841829300e-03,-2.857343666255474091e-02
-6.374296266585588455e-03,4.853536840528249741e-03
3.612770000472664833e-03,5.639424547553062439e-03
2.067927271127700806e-02,1.499801781028509140e-02
-2.371332608163356781e-02,-1.984541304409503937e-02
5.473865661770105362e-03,1.815194450318813324e-02
4.748591687530279160e-03,2.587589202448725700e-03
-2.524779178202152252e-02,-3.529338538646697998e-02
1.577712362632155418e-03,1.587737351655960083e-02
-1.064230594784021378e-02,-8.678395301103591919e-03
-1.708467118442058563e-02,-1.906904391944408417e-02
-1.465879101306200027e-02,-1.707166060805320740e-02
